c1,c2,c3,c4,x,y,z,tx,ty,tz
3.475065,6.319557,3.252033,6.199712,-1.750435,0.6690633,0.251564,-1.741295,0.7222186,0.2500604
6.524433,2.353384,6.636117,2.647309,2.327339,1.562356,-0.2471161,2.314363,1.640779,-0.2449718
3.031746,7.407318,1.699376,6.968842,-2.86924,1.472744,1.061052,-2.854805,1.527632,1.0506
3.980741,4.76085,4.056306,4.824212,-0.4286957,1.540483,-0.1016722,-0.4262124,1.642761,-0.1012211
4.767809,4.939977,4.445458,4.62963,-0.1050262,0.7467108,0.4971381,-0.104461,0.8087522,0.4949836
2.883977,6.94557,2.686447,6.865902,-2.508186,0.8559057,0.1848183,-2.495226,0.9057916,0.1833872
5.660253,3.556813,5.694088,3.610414,1.218361,0.9576357,-0.06437302,1.211722,1.02238,-0.06402838
2.861732,6.827676,2.845021,6.820689,-2.414223,0.8228811,0.0160141,-2.401728,0.8732265,0.0158937
7.516579,1.905967,7.544935,2.014896,3.321613,1.589766,-0.07204819,3.30414,1.647873,-0.07118213
4.477361,4.92498,5.154378,5.547637,-0.2643814,0.2186308,-1.091257,-0.2630413,0.2687092,-1.086808
2.790797,7.436322,3.587219,7.77036,-2.98278,0.1545056,-0.8525991,-2.969396,0.1901257,-0.8465993
4.645318,5.585,4.416047,5.395806,-0.6038551,0.0795125,0.3477418,-0.6008284,0.1278486,0.3462516
6.877094,2.802451,6.902748,2.864827,2.477798,0.8011812,-0.05936813,2.465043,0.8504275,-0.05891752
2.870809,6.211563,2.983385,6.264388,-1.906879,1.25815,-0.1106186,-1.896373,1.327501,-0.1098405
2.577441,7.648269,1.458744,7.347159,-3.257153,1.647579,0.7616768,-3.240801,1.703575,0.7525446
4.85594,4.088547,5.090652,4.364722,0.4313736,0.9786415,-0.3908539,0.4289963,1.047716,-0.389097
3.050994,7.966049,2.307383,7.711899,-3.39986,0.6036895,0.6699781,-3.384335,0.6393615,0.6640915
4.31122,5.142383,4.314458,5.145098,-0.493721,0.6317254,-0.004676932,-0.4910926,0.6904896,-0.004655838
5.284861,3.290567,5.533334,3.676392,1.075066,1.540384,-0.4503679,1.06887,1.637167,-0.4480052
2.780016,8.090856,2.881012,8.126112,-3.62471,0.3000944,-0.09604836,-3.608341,0.3331699,-0.09529054
6.455641,3.981409,5.892709,2.983344,1.623077,0.8851984,1.16293,1.61398,0.9419731,1.158546
6.035113,4.506195,5.730096,4.088668,1.0123,0.01790307,0.6007843,1.0073,0.06418443,0.5980977
1.82027,6.770472,3.059804,7.203354,-2.673069,1.511434,-1.014011,-2.657869,1.572982,-1.00817
3.197303,6.232174,2.93969,6.104017,-1.798414,1.143357,0.2652512,-1.788578,1.209213,0.2634946
