c1,c2,c3,c4,x,y,z,tx,ty,tz
7.67061,1.381021,7.842314,2.137954,3.577423,1.838955,-0.4514389,3.55819,1.927499,-0.4439382
4.230069,5.403918,3.584009,4.914668,-0.7122631,1.321282,0.8317337,-0.7068026,1.448518,0.8413946
7.210277,2.15145,7.688014,3.427272,2.975731,0.7894779,-1.188489,2.95996,0.8429569,-1.186243
7.628972,2.731176,7.60744,2.670442,3.186417,0.5642893,0.05490112,3.171368,0.612976,0.05467713
3.973026,5.262275,3.598232,4.985366,-0.7499657,1.427298,0.4674721,-0.7441627,1.56336,0.4729434
6.248937,2.316651,6.759978,3.466259,2.119923,1.329948,-1.105541,2.105146,1.426128,-1.108014
7.550833,2.209656,7.375078,1.503085,3.278023,1.836399,0.4434776,3.258281,1.938676,0.437219
2.712275,7.730882,1.137802,7.328348,-3.296646,1.882809,1.021568,-3.275631,1.971932,1.010307
4.297698,3.894931,4.969044,4.625113,0.2081528,1.720336,-1.016832,0.2062328,1.949451,-1.036864
7.192724,1.553554,7.389215,2.297551,3.10257,1.859615,-0.4835072,3.08261,1.974404,-0.4775355
3.036507,7.906332,2.357852,7.671322,-3.346016,0.575294,0.6126264,-3.330607,0.6216477,0.6101524
3.344352,5.932376,3.917601,6.273436,-1.509518,0.560752,-0.6905594,-1.500525,0.6293997,-0.6938173
3.098925,7.013841,2.443748,6.750002,-2.488926,0.9469434,0.6062775,-2.474414,1.013615,0.6052394
2.094079,7.799086,2.310927,7.860086,-3.544468,1.108623,-0.1606903,-3.527536,1.162402,-0.1592029
6.615319,3.475461,6.475975,3.202284,1.991245,0.4614833,0.3034286,1.980226,0.5217434,0.3040341
4.651147,4.36232,5.020068,4.753709,0.1637802,0.7488517,-0.5892105,0.1627083,0.8330835,-0.5946515
5.108868,4.040826,5.497028,4.521622,0.6146164,0.5795234,-0.6806355,0.6107658,0.6557432,-0.6861317
4.293799,4.197391,4.657679,4.568954,0.05157852,1.49371,-0.5349751,0.05116415,1.647053,-0.5428761
4.647129,4.982575,4.2349,4.600502,-0.2032928,0.955976,0.6041116,-0.2018907,1.051648,0.610239
3.516647,7.439036,3.054973,7.232242,-2.698437,0.08017527,0.5054846,-2.685779,0.1276538,0.5056572
3.756319,7.016833,2.779213,6.545995,-2.207867,0.5702611,1.062138,-2.195376,0.6317791,1.064318
7.056255,3.516406,6.526629,2.27404,2.354076,1.100211,1.197937,2.339102,1.17617,1.198976
8.077094,2.795042,7.935176,2.353684,3.604866,0.6269875,0.3808289,3.589199,0.6717383,0.3787385
7.801182,2.470248,8.086953,3.262285,3.437233,0.3728041,-0.7588539,3.42227,0.4161651,-0.7567291
