numsamples,plt_err1,plt_err2,plt_err1_linear,plt_err2_linear,plt_err1_transferred,plt_err2_transferred
10,0.00936509723587352,0.0092532892427077,0.01004317474309583,0.00977604957162044,0.010944619940351605,0.010676721664766284
20,0.008540966229532704,0.008430236841772479,0.008520333886600144,0.008443644364923383,0.007843991309001026,0.007946118211391582
30,0.007188071812536413,0.007224306119489703,0.008273507729792828,0.008317280199628439,0.006929287063698886,0.007102202998567592
40,0.006924418575047445,0.0071144145080482765,0.008208809353438552,0.008287605413303922,0.006453255580667485,0.0066571968172041765
50,0.006529380401143131,0.006659488397120397,0.008346365936665842,0.008370972629522399,0.00589604671771464,0.0062223415744829605
60,0.006271373577082529,0.006353425675695551,0.008266136410667058,0.008321921691917866,0.006182968926447573,0.006413183986618077
70,0.006462006186173842,0.006494759146493375,0.008333455030763501,0.008379588191437956,0.005855971213242853,0.006137080202342709
80,0.006281397825569514,0.0064067883180118496,0.00817871169764279,0.008267954366792223,0.005464564589509229,0.005766638544582227
90,0.0057763043291024635,0.0058345024800669845,0.008146473160783369,0.008233093239424843,0.004753327086487963,0.005064159611843536
100,0.0057947554018371915,0.005980624646183434,0.00810882761979121,0.008199443916298784,0.0060319365422566275,0.006212243921169442
110,0.00558767148071828,0.005729789817276359,0.008085676954784677,0.008168418147616359,0.004885377728415343,0.005257085787504552
120,0.005620175280071161,0.005793180522908788,0.008031949139256847,0.00812148285565194,0.005440413349156949,0.00561600436088281
130,0.0058305417537864055,0.005972748809632079,0.007982721617089425,0.008074072578374484,0.004670383020692621,0.00505122464314243
140,0.005156167974940018,0.005408654594111714,0.007951077285556205,0.008058005192050069,0.004411352476696081,0.00487417548271294
150,0.005089461677621297,0.005383782700061669,0.007968423976016636,0.008075225359051955,0.004363159818754948,0.004778544131176735
