numsamples,plt_err1,plt_err2,plt_err1_linear,plt_err2_linear,plt_err1_transferred,plt_err2_transferred
20,0.009077011210611743,0.009106075049021967,0.009370979498436368,0.00938331954157746,0.008373182525889599,0.008336716928318251
30,0.00794199450761807,0.007979944049016478,0.008825425752296372,0.008841722927335023,0.007273111986369599,0.007175273440911245
40,0.0076760341011756,0.007593960759924367,0.00852482869591534,0.008556781853387097,0.007022038883818185,0.007038605270886929
50,0.007234733089916752,0.007172086303537732,0.008377405306282181,0.008369882622553447,0.0065069639431065045,0.006478044221185976
60,0.007031796547605335,0.006935500094595747,0.008318532446685607,0.008308550251849019,0.006513921690238674,0.00650505958519294
70,0.006950919485748665,0.006957275309389029,0.008308180874633166,0.00828590723439471,0.006557073857323528,0.006597095826437435
80,0.0067218254717283064,0.006716004668904949,0.008214281197773923,0.008196154038660931,0.006196807441390026,0.006264228153013496
90,0.006418340870352187,0.006467981147178109,0.008166675854879886,0.008154087917545183,0.00588250561393564,0.006018075100186273
100,0.006607435618688455,0.006620943688286002,0.008135479182281817,0.008136236618936234,0.006365349883584989,0.0064501918249052805
110,0.006186650789559099,0.006250388980820957,0.008132298829407433,0.008131434882013445,0.005831546588540066,0.005968692857480413
120,0.005940216566124616,0.006009710448000864,0.008130726802448963,0.008137140398816533,0.005549262083257561,0.005715421553354559
130,0.006687725003409542,0.0066739699294550885,0.00810196773391789,0.008087744340671974,0.006005735745630121,0.006116368475093014
140,0.0061254489714503094,0.006119080434659204,0.008072017395975625,0.008059400781234908,0.005178925816949129,0.005402132372954427
150,0.005637913022831445,0.005712648300707341,0.008097855710235234,0.008080804974998298,0.005009828563528698,0.005197752171766957
160,0.0055540954166443425,0.005721578222236185,0.008097853112208377,0.008080023642206242,0.0049173412294105665,0.005145374452686463
