numsamples,plt_err1,plt_err2,plt_err1_linear,plt_err2_linear,plt_err1_transferred,plt_err2_transferred
20,0.01268671020751693,0.012903240840094081,0.013545678158518416,0.013578042648751584,0.012616492395668496,0.012813582261238939
30,0.012007721526878564,0.012348663122209287,0.0128867688930834,0.013110569354209962,0.011460811418499766,0.011743054365247647
40,0.011374016035351067,0.011670582208232232,0.01264756042090006,0.012941668688877845,0.011305873523069545,0.011637187357247163
50,0.011089817688385122,0.011474202107764429,0.012372319900200717,0.012629397773766026,0.010876719930495018,0.011276719306251234
60,0.011072549402314828,0.011385025100793785,0.012331243549386632,0.012566234985768412,0.010463261980383946,0.010786363339486292
70,0.011022630045140359,0.011370009092506789,0.012219069199877539,0.01245227113047667,0.010458853315989303,0.010969939418302425
80,0.010402664707314472,0.010692288196599195,0.012237433029590105,0.012474825289460562,0.010203981202485064,0.010593015791008336
90,0.010259265396821898,0.010596136268206496,0.0121514981674172,0.01240010026427269,0.009904315216236637,0.010468598189099938
100,0.01044222618690881,0.01090302292432531,0.012183251870322943,0.012473947542430103,0.010041325824159513,0.01060112225812763
110,0.010299784975771714,0.010697081944431797,0.012143304187879964,0.01242058131430361,0.009996699913454138,0.01049547867534722
120,0.010111158356585671,0.010495951978681943,0.012125979054214897,0.012400669524095848,0.00966135850539755,0.010211579792947376
130,0.01003503658028687,0.0105470234066346,0.01207744612822374,0.012329798021105785,0.009377545866247193,0.009941105182890543
140,0.009942005053621835,0.010337259624113148,0.012046613352591294,0.012276775474429298,0.009357147759930882,0.009872577506577484
150,0.009729077582363441,0.010095467626812148,0.012050559026869995,0.012286337758542593,0.009169776089897592,0.009646075800054882
160,0.00951919873156861,0.009901291991158039,0.01203344068454938,0.012254830084810429,0.008921756221817031,0.00935505912283135
