numsamples,plt_err1,plt_err2,plt_err1_linear,plt_err2_linear,plt_err1_transferred,plt_err2_transferred
20,0.009524080349636137,0.009567022282281283,0.009226430875421902,0.00919978243558847,0.003894188243783153,0.0038759364353551625
30,0.00977172153746327,0.009806020409312206,0.008996937967999996,0.00893095830862285,0.002878514090073624,0.002850336790476825
40,0.006119000184434246,0.005992319536663603,0.00893253317355881,0.008832792401815141,0.002891627136056486,0.002857957787347839
50,0.00476090571553146,0.0045865253878067105,0.008654295364746253,0.008533285609095217,0.0024595863193765557,0.002420085272036102
60,0.004670811786075612,0.004619231972246795,0.008694048732420996,0.008597587534865005,0.0024545725459285427,0.0024131914135837413
70,0.004214834224868025,0.004158512157269437,0.008753685008262208,0.008689558697858493,0.0023991929145357176,0.0023817630351151272
80,0.004061271644107814,0.003995721054188417,0.008731744510048982,0.00863939703896724,0.0022783890053950464,0.0022623259932230103
90,0.0028120977215936854,0.0027756337740041308,0.00863041525668145,0.008517971640313994,0.002317413725421096,0.0022779087117949497
100,0.0036198094106195777,0.003528676728850119,0.00864036387570253,0.00851494352468969,0.0021484094321143313,0.00211708964118221
110,0.0035791460780256416,0.00351509781953443,0.008639906667742697,0.008511573675648683,0.002243526484794207,0.0022086325605143054
120,0.0036989311529886434,0.0036076849765170043,0.008624820988210656,0.008494259166604344,0.002177882917924477,0.002156174391191359
130,0.002633037059985671,0.0025760595202163803,0.008712218553666155,0.008630863733446875,0.002150918253558461,0.0021341323722602456
140,0.002421762607148681,0.0023592004551955714,0.008702877293516586,0.008576142837332233,0.002243766495553408,0.0021978662716888
