c1,c2,c3,c4,x,y,z,tx,ty,tz
1.756122,7.384097,2.22508,7.509454,-3.234045,1.584994,-0.3148098,-3.215057,1.673105,-0.3111696
7.982542,3.728038,7.571651,2.739926,3.127609,0.09597877,1.062626,3.113919,0.1440294,1.065178
3.02279,5.816623,3.914433,6.326028,-1.55435,0.9099235,-1.021358,-1.54349,1.002123,-1.030921
4.329757,4.048604,5.019026,4.778601,0.1485405,1.367388,-1.05204,0.1472249,1.531318,-1.073972
3.671196,5.824411,3.827151,5.923949,-1.285862,0.5366329,-0.1931686,-1.27788,0.6108714,-0.194901
3.205881,6.750778,3.7744,7.038567,-2.217358,0.1226294,-0.6581116,-2.205959,0.1789203,-0.6614033
6.668026,2.921823,6.492271,2.494807,2.260582,1.228092,0.3850584,2.245345,1.320458,0.3854974
6.464906,3.576378,6.359586,3.382278,1.823185,0.3923372,0.2237829,1.812783,0.4571116,0.2251115
6.715757,3.337607,6.258774,2.282647,2.138786,1.394927,0.9835253,2.122611,1.506711,0.9881905
4.04979,5.923968,3.611457,5.633402,-1.175819,0.5869996,0.554163,-1.168287,0.665337,0.559697
6.185599,4.438165,5.715792,3.755789,1.167217,0.238584,0.9224091,1.160271,0.308527,0.9318926
5.723468,4.636795,5.159196,3.919066,0.7083626,0.5495248,1.010532,0.7036393,0.6345712,1.023465
5.720939,3.056315,6.041814,3.621525,1.472546,1.132251,-0.6231575,1.461755,1.23718,-0.6290631
1.867659,6.915339,2.812837,7.228127,-2.789185,1.430144,-0.7402763,-2.770861,1.51861,-0.7373171
5.727077,3.810805,5.56704,3.565777,1.150166,0.8467965,0.2981367,1.142323,0.9360732,0.3012454
3.869196,4.620386,4.139268,4.848797,-0.4023476,1.651971,-0.3522042,-0.3985808,1.862178,-0.3604767
1.723403,7.729301,3.082217,8.140763,-3.565414,1.03774,-1.093558,-3.548249,1.088615,-1.088324
4.045278,4.828064,4.029852,4.815147,-0.437767,1.396003,0.02038383,-0.4341209,1.544118,0.02076054
2.059706,7.917212,1.444459,7.779866,-3.67112,1.793505,0.365921,-3.65249,1.8848,0.3593216
3.793288,5.39059,4.007167,5.543178,-0.9230881,0.7713153,-0.27491,-0.9168397,0.858801,-0.2780592
5.841719,3.72665,5.464768,3.102568,1.275093,1.335527,0.7014313,1.26486,1.466565,0.7103322
7.804837,3.14469,7.792443,3.113802,3.202438,0.03032162,0.03219604,3.18915,0.07628059,0.03221953
3.820667,4.92681,3.928756,5.011096,-0.6098938,1.441628,-0.1370983,-0.6047479,1.595879,-0.1396041
2.483484,7.617337,1.552798,7.366635,-3.260323,1.582602,0.6327248,-3.241008,1.664922,0.6260851
5.190496,3.547976,5.794209,4.384033,0.9037704,0.9204167,-1.090199,0.8970698,1.025441,-1.105268
5.233834,3.193451,5.737342,3.965124,1.083927,1.40711,-0.9063034,1.07468,1.557624,-0.9206796
5.619579,3.7781,5.283653,3.257508,1.090672,1.413198,0.6014977,1.081602,1.558507,0.610447
7.57125,3.032413,7.516916,2.894086,3.021915,0.2975224,0.1366539,3.008019,0.3477807,0.1366323
7.160107,3.058021,7.34442,3.467689,2.632362,0.1311522,-0.4443626,2.619728,0.1831565,-0.4455619
5.907763,4.529318,5.3573,3.783347,0.9050903,0.5014752,1.021273,0.8991845,0.5831543,1.033501
3.174803,6.505654,2.650224,6.266406,-2.029205,1.156381,0.5073099,-2.01526,1.249838,0.5092813
7.560956,2.603734,7.957778,3.596889,3.163471,0.2365266,-1.024878,3.149289,0.2851734,-1.026363
3.676367,6.285481,2.692325,5.765434,-1.637787,1.385921,1.033497,-1.624476,1.517617,1.044509
2.655929,7.473597,3.520837,7.82285,-3.064072,0.2463506,-0.889225,-3.050043,0.2958548,-0.8903893
3.199412,6.61414,3.028528,6.533191,-2.106895,0.6833285,0.1767616,-2.094413,0.7528518,0.1773762
3.195182,5.996729,2.734124,5.764288,-1.623756,1.69644,0.4506168,-1.609474,1.881404,0.4556254
2.380171,7.940585,1.647654,7.752577,-3.604477,1.399747,0.4974928,-3.58673,1.464125,0.4917417
4.241999,4.976489,4.300279,5.02626,-0.4261475,0.8202758,-0.08186494,-0.4231803,0.9131154,-0.08297408
5.801747,3.396273,6.109488,3.898749,1.391785,0.6477931,-0.6055241,1.38285,0.726488,-0.6109297
5.434758,4.723491,4.925277,4.127121,0.4546471,0.5989299,0.8680935,0.4515768,0.6857866,0.8797071
4.460739,4.999551,4.595296,5.119967,-0.3206215,0.4633437,-0.2006111,-0.3185823,0.5405117,-0.2030927
2.443714,6.408169,2.776442,6.542287,-2.209457,1.469346,-0.2891235,-2.193306,1.585442,-0.2894813
2.673917,7.615354,1.798143,7.353713,-3.195621,1.275951,0.6573563,-3.177736,1.343766,0.6527524
3.696055,6.261492,2.546602,5.659562,-1.612026,1.707746,1.177914,-1.596591,1.914917,1.195941
3.177389,8.067969,2.56608,7.847362,-3.451691,0.3231551,0.5858994,-3.43727,0.3695085,0.5851722
5.803649,2.573407,6.150846,3.282223,1.706503,1.712857,-0.6842865,1.691245,1.900736,-0.691761
4.445323,6.212837,3.691211,5.697673,-1.184587,0.2974624,1.01206,-1.177403,0.3697388,1.022643
5.386901,3.638476,5.467854,3.757291,0.9935303,1.070305,-0.1446762,0.9862624,1.175595,-0.146455
3.003336,7.588643,1.397191,7.107715,-3.056435,1.653309,1.183498,-3.035467,1.741814,1.177981
5.61799,4.628706,4.999921,3.855168,0.6381235,0.7680585,1.078545,0.6335552,0.8657845,1.093766
4.570271,4.298258,4.720513,4.457678,0.1519461,1.148482,-0.2288666,0.1507721,1.267423,-0.2326457
7.757203,1.84152,7.823301,2.102627,3.566689,1.437182,-0.1738396,3.548938,1.50702,-0.1716406
6.073211,3.211442,6.258052,3.548617,1.671248,0.7287996,-0.3773327,1.660658,0.8062767,-0.3798871
6.277098,3.075343,5.980284,2.412378,1.888528,1.796742,0.6012614,1.871515,1.999624,0.6063606
7.666828,1.666428,7.862384,2.411185,3.518141,1.393366,-0.5117397,3.500204,1.459264,-0.5061386
4.273671,4.718444,4.056977,4.52311,-0.2522144,1.541414,0.2944813,-0.2499661,1.721026,0.3008657
4.831389,5.863753,4.070714,5.254712,-0.6944141,0.2830119,1.114826,-0.6900799,0.3596561,1.128601
6.829779,2.584398,7.285005,3.620018,2.512008,0.5788565,-1.067535,2.497923,0.6411763,-1.070902
3.653769,7.005175,3.146752,6.75459,-2.244362,0.2092127,0.572113,-2.232652,0.2664261,0.5746642
2.644921,8.070018,1.708826,7.813428,-3.650228,1.191574,0.6852264,-3.633099,1.246781,0.6792532
2.744649,7.529148,1.315455,7.133399,-3.094047,1.82641,0.9751148,-3.072185,1.934746,0.967113
5.913461,3.75796,5.501812,3.06972,1.313341,1.295171,0.7737032,1.302922,1.421281,0.7831801
4.517195,5.267979,4.406322,5.173223,-0.4620187,0.3691428,0.1629658,-0.4591597,0.442652,0.1648958
7.188025,2.020375,7.480518,2.893504,2.99104,1.080883,-0.7177982,2.974112,1.1465,-0.7150747
8.00289,2.756426,7.685553,1.618445,3.545723,1.247687,0.8364716,3.528023,1.304518,0.8297539
3.383484,7.617945,2.912939,7.420939,-2.924892,0.1429661,0.4930611,-2.911571,0.1923957,0.4937914
5.294422,3.600632,5.83466,4.356249,0.9482994,0.7726821,-0.9895973,0.9416468,0.866129,-1.002059
2.021785,6.753105,3.265343,7.223523,-2.612045,1.222391,-1.09516,-2.594801,1.303699,-1.095809
3.999703,5.546408,4.008084,5.552455,-0.9287138,0.5462298,-0.01106834,-0.9228137,0.6234692,-0.01118648
5.954835,3.638842,5.633187,3.084462,1.399227,1.201013,0.6148053,1.388681,1.313405,0.6212111
4.345922,5.772156,3.635323,5.257977,-0.908308,0.7868578,0.9333935,-0.9019216,0.8807334,0.9452434
7.686484,1.907065,7.991602,2.90182,3.481983,0.9569537,-0.8015728,3.465322,1.009676,-0.797277
2.0301,6.87117,2.190857,6.92037,-2.713595,1.842406,-0.113945,-2.693229,1.9999,-0.1130918
3.399311,5.866318,4.159632,6.337263,-1.437571,0.4693974,-0.9490852,-1.428648,0.5437156,-0.95787
6.803471,2.392265,6.988632,2.876924,2.550903,1.067252,-0.426075,2.535268,1.143332,-0.4256265
3.68678,6.886425,3.353879,6.71409,-2.125334,0.1016577,0.3886509,-2.114406,0.1578827,0.3906406
5.683619,4.352835,5.660719,4.322892,0.8395367,0.07719327,0.04285049,0.8347715,0.1413403,0.04329658
3.37384,5.280039,3.486404,5.352666,-1.040443,1.671628,-0.1264021,-1.031001,1.870911,-0.1287024
6.233224,4.312682,5.856515,3.747654,1.273216,0.1799873,0.7519112,1.265866,0.2463458,0.7590526
6.111242,4.629667,5.649639,4.000618,1.000326,0.06092339,0.8952332,0.9945918,0.1274097,0.9048114
6.074178,3.855819,5.495573,2.85885,1.38887,1.473263,1.099796,1.376769,1.630416,1.115718
4.226183,5.44679,3.370604,4.813301,-0.7455406,1.70774,1.057003,-0.737931,1.960936,1.083276
3.091858,6.326957,3.559421,6.568125,-1.915848,0.5801323,-0.5155258,-1.904425,0.6495258,-0.5183148
7.415357,3.667242,6.916838,2.510738,2.610657,0.5802029,1.187155,2.596178,0.6414839,1.19081
2.813221,7.131246,1.826316,6.802639,-2.702793,1.566479,0.7658052,-2.683779,1.67043,0.7631301
2.609568,6.193188,2.813801,6.281975,-1.987217,1.577164,-0.1838204,-1.971609,1.71755,-0.1846051
7.926187,2.274114,7.93468,2.303543,3.619461,0.9634529,-0.02262878,3.603303,1.017419,-0.02245283
6.995762,3.19593,6.804794,2.752909,2.434105,0.6466191,0.4385357,2.420419,0.7104706,0.4392434
5.905448,2.934067,6.01024,3.139652,1.654339,1.400529,-0.2064705,1.641598,1.52624,-0.2081107
3.301619,5.055993,3.829461,5.415454,-0.9251785,1.689049,-0.6145706,-0.9163986,1.905919,-0.6273474
4.107464,4.987634,4.483145,5.301303,-0.503746,0.689431,-0.5309505,-0.5003269,0.7770101,-0.5378873
5.753796,2.6026,6.249205,3.5665,1.66013,1.556501,-0.9798279,1.64579,1.713993,-0.9910655
2.508284,8.091326,1.900337,7.923973,-3.715126,1.093189,0.4506682,-3.698629,1.147255,0.4467012
3.915257,5.69907,3.625824,5.50425,-1.079197,0.8006076,0.3598948,-1.071885,0.8884443,0.3637733
4.863561,4.538003,5.389224,5.09735,0.192482,0.2331247,-0.8870258,0.1912971,0.307271,-0.8982514
4.10411,5.223032,4.611434,5.630423,-0.6563873,0.3761077,-0.7282562,-0.652271,0.4518545,-0.7369341
3.825967,4.887458,4.116116,5.117777,-0.5827484,1.271523,-0.3778038,-0.578077,1.402637,-0.3840648
6.965957,1.893355,7.213001,2.662259,2.827087,1.458017,-0.5869102,2.808735,1.548362,-0.5838051
4.164553,5.35658,3.436069,4.81207,-0.7163696,1.668784,0.901722,-0.7093407,1.896884,0.9228213
3.990357,5.343976,3.560421,5.031076,-0.796257,1.354205,0.5322943,-0.7896955,1.495436,0.5410587
