c1,c2,c3,c4,x,y,z,tx,ty,tz
2.931513,6.292858,3.741247,6.708444,-1.362894,0.9162586,-0.8444633,-1.937893,0.704476,-0.9005273
3.06868,6.490034,2.295188,6.162112,-1.604536,2.685058,0.6071377,-2.043984,1.812198,0.6914852
4.646754,3.549446,5.247911,4.306602,1.000591,1.827011,-0.7114429,0.5621101,1.978349,-0.9913748
1.726829,7.234748,2.437749,7.43655,-2.440313,2.179601,-0.4964226,-3.084978,1.636269,-0.4934474
2.203516,7.532156,1.981228,7.470151,-2.519632,1.857276,0.2602854,-3.242368,1.458094,0.1550364
1.714456,6.689038,2.911943,7.091071,-2.100489,2.67747,-0.9656487,-2.612742,1.873961,-0.923342
6.03439,2.714478,6.271674,3.207556,2.061008,1.35471,-0.7728767,1.815342,1.447472,-0.4866711
4.630829,4.8088,4.019813,4.223609,-0.05051804,2.179579,0.01894379,-0.1049991,1.922418,0.8809474
7.216383,2.926828,7.562495,3.698848,3.09631,0.2241239,-1.139977,2.719366,0.1491024,-0.8525257
7.333839,1.333854,7.687139,2.661968,3.552387,1.597421,-1.202932,3.250377,1.784373,-0.8844848
1.270038,7.773386,2.186865,7.974642,-2.957241,2.447703,-0.5617218,-3.675783,1.949304,-0.5282303
3.970063,5.303374,4.117158,5.414367,-0.2340164,1.066743,0.06215018,-0.7727734,0.7890066,-0.1982656
3.797242,4.941521,4.61698,5.596077,-0.146862,1.093197,-1.014136,-0.6249737,0.9954616,-1.149576
6.211417,2.978222,6.216784,2.989398,1.998238,1.1111,-0.6088409,1.856994,1.264538,-0.01111555
6.36656,3.58118,6.541599,3.883848,2.026077,0.2277106,-0.7597961,1.731765,0.1666491,-0.3765711
7.202961,2.375316,7.000405,1.662874,3.185413,1.648807,0.2067528,2.890033,1.99879,0.4794957
5.646172,3.667084,5.406884,3.286737,1.204926,1.298001,-0.3641663,1.151985,1.447177,0.440811
5.108639,4.885939,5.118624,4.896379,0.526001,0.2915429,-0.197238,0.1391118,0.09870863,-0.01702094
4.163924,6.847927,3.391662,6.407747,-1.393715,0.4370277,0.5226421,-1.84724,0.1327598,0.972481
6.300227,3.238092,6.798059,4.123831,2.338192,0.3557747,-0.8768177,1.825476,0.33654,-1.086791
5.67288,3.873827,6.072586,4.43861,1.56979,0.3333115,-0.588665,1.07344,0.265476,-0.7824544
7.917054,2.100178,7.804592,1.625627,3.999485,1.592328,0.06337738,3.641813,1.669674,0.2946812
5.528163,3.978883,5.88957,4.467432,1.400131,0.3975757,-0.5250473,0.9205678,0.3148711,-0.6877402
2.90078,5.570498,3.443368,5.871346,-0.9456253,2.537962,-0.4885826,-1.413495,1.769138,-0.57371
2.634627,6.540234,3.062142,6.723847,-1.650627,1.41497,-0.32617,-2.239588,1.073601,-0.4059095
2.75372,6.122809,3.699332,6.602339,-1.332672,1.299438,-0.9920235,-1.869114,1.023986,-1.017015
6.876882,2.623983,7.314157,3.618103,2.940933,0.5973258,-1.102844,2.525389,0.5801252,-1.03423
5.991943,3.520573,6.321885,4.056758,1.874008,0.4527968,-0.7027559,1.469309,0.3950181,-0.6771415
5.048985,3.779846,5.067705,3.804815,0.9230194,1.720567,-0.3461399,0.7003137,1.585102,-0.03156412
7.66553,2.212437,7.661945,2.199982,3.696754,1.093498,-0.3187447,3.366593,1.21134,0.009159446
3.726354,5.979534,3.343046,5.748484,-0.9172134,1.407797,0.3439598,-1.366819,0.9270841,0.4516256
8.093225,2.6523,8.161861,2.854888,3.990707,0.4236312,-0.7000122,3.654099,0.4222121,-0.1859484
6.511694,3.101169,6.516656,3.111575,2.205353,0.6981844,-0.6585941,2.049057,0.8044053,-0.01077509
5.269923,3.713859,5.215549,3.63629,1.037365,1.54199,-0.3890095,0.8737088,1.485525,0.09502304
3.749629,4.994649,4.018668,5.199664,-0.2019348,1.733463,-0.135386,-0.6804255,1.39088,-0.3483292
7.893737,2.576668,7.85861,2.46696,3.812485,0.6742875,-0.3342113,3.479491,0.7421638,0.0922209
3.388834,8.105923,2.386101,7.740495,-2.58567,0.6685861,0.9696274,-3.388862,0.456367,0.9651198
3.469695,6.602889,2.349858,6.089433,-1.627068,2.660097,0.610157,-1.97246,1.586605,1.086159
3.092181,5.879952,3.263587,5.971872,-1.034386,1.811041,-0.03068924,-1.563266,1.326809,-0.1815692
4.549635,5.289493,4.264709,5.046514,-0.1438675,0.8758719,0.05393982,-0.4549721,0.590252,0.4185722
5.641593,3.250323,6.110271,4.009045,1.801762,0.9187589,-0.6595345,1.328936,0.9418017,-0.917973
2.109256,7.641332,2.392134,7.724202,-2.63435,1.346533,-0.1560612,-3.371312,1.152309,-0.2122245
4.260172,6.634299,3.449399,6.145177,-1.241329,0.5488386,0.4655016,-1.616553,0.2489645,1.041785
6.77226,4.031785,6.321686,3.217997,1.980671,0.1129158,0.1071863,1.850513,0.3615754,0.9832967
