numsamples,plt_err1,plt_err2,plt_err1_linear,plt_err2_linear,plt_err1_transferred,plt_err2_transferred
20,0.008661893016785056,0.008868451483464232,0.009009711120143447,0.008862880400977699,0.00553545820659886,0.005732759821285362
30,0.00741491497348791,0.007325220926177244,0.00842592376054835,0.008246991667418461,0.005364600375731114,0.005482076289906798
40,0.007421741489148007,0.007317755357161074,0.008821486596638593,0.008684050556380054,0.004788632069156511,0.0049508735123628845
50,0.006308234210117572,0.006435591492738378,0.008447093034417841,0.008326573827140379,0.004859350343500911,0.005113173541544949
60,0.006027668132131944,0.0061357723024823355,0.0084768152718556,0.008362104502690483,0.004655852933490058,0.004931149023665652
70,0.0069374241429224145,0.0068646301087092925,0.008384913119844475,0.008227011114632789,0.004621152820143961,0.004794623145369038
80,0.006033828739598416,0.006139934437516367,0.008283115687152807,0.008104894516406917,0.004517395312924733,0.004797533396802966
90,0.005998100199159122,0.005842682986619378,0.00818502093521488,0.008000665142885369,0.0043735398530118956,0.0045284005360918455
100,0.0061087394956915895,0.006149472961554862,0.008164499985489534,0.007992777764911698,0.004566873392670172,0.004590055865863667
110,0.005538921129827967,0.005645878436539812,0.008147077934458166,0.007975416932635256,0.004221988071211963,0.004317528910684415
120,0.0053615451751627685,0.0054789718956244834,0.008143914687598602,0.007970134576129368,0.00429569267088343,0.004370906977998361
130,0.005789973215740596,0.005710533909253631,0.008128069933144274,0.00795662355793021,0.004355874488319929,0.0044013590582519585
140,0.00535364417737504,0.0052106647067113295,0.008216006157115536,0.008063088009280904,0.0040438265923835185,0.004076002895860138
150,0.005095934846808487,0.005035323448200334,0.008249065146411562,0.008104644513109806,0.004105349640853134,0.0041234303698007005
160,0.005127314850721734,0.005056522229921608,0.008217735636068547,0.008069487008441284,0.004149697030878961,0.004063755022842985
