numsamples,plt_err1,plt_err2,plt_err1_linear,plt_err2_linear,plt_err1_transferred,plt_err2_transferred
20,0.00929145885540754,0.009314777806807758,0.009627402456118787,0.009621277394966035,0.009042435795536779,0.00875611137659104
30,0.007577148115705794,0.007780883691603801,0.008898187943350346,0.008923210499650558,0.007535504294813513,0.007682617608664921
40,0.006943971880560806,0.007289144414918099,0.008427588578679097,0.008459486719842868,0.006805312459981283,0.00717166013808283
50,0.006417337031951457,0.006634398519036183,0.00836869110619384,0.008382006387853129,0.006183226400229797,0.0063795864638794
60,0.006457945621692482,0.006594374180326049,0.008314562661976051,0.008332783854102035,0.005800933820957776,0.006030660417020454
70,0.006315461449347957,0.006442355147530014,0.008359810431732805,0.008347962110705105,0.005244597994194397,0.005536427423413672
80,0.005939238689740762,0.006107703679829484,0.008198419822460019,0.008178753727950403,0.005187616374247948,0.005419058526978732
90,0.005686006885252585,0.005978848438986646,0.008180818512658143,0.00816682099179522,0.004893773886851277,0.00510926919626732
100,0.00554896331803872,0.005682788115994828,0.008169374343434318,0.008166364584471413,0.005112836416455552,0.00533321103005714
110,0.005533567623643467,0.005797624647052486,0.008140881344997197,0.008137617982338537,0.005104796463162549,0.005261948409329583
120,0.004924568375261639,0.005288370256415852,0.008142095059597126,0.008153291033932331,0.004864828708423239,0.005205128389881807
130,0.004834243782034223,0.004989709848456926,0.008071729481835191,0.00805567308291733,0.004736200845313349,0.005052624679843406
140,0.004798885989240862,0.00502650490824101,0.008057134356849315,0.008043357817962124,0.004565379062292144,0.004892842177746882
