c1,c2,c3,c4,x,y,z,tx,ty,tz
6.393579,3.8244,6.214713,3.51722,1.649033,0.2986549,0.377903,1.640738,0.3460577,0.3758672
5.197011,4.105271,5.493989,4.475294,0.6380749,0.5033375,-0.5315456,0.6347295,0.5585777,-0.5291663
2.904802,6.243089,3.292744,6.432764,-1.918901,0.9519699,-0.4033806,-1.908643,1.010127,-0.400715
4.672232,4.809904,5.064067,5.191358,-0.08200836,0.2550882,-0.6384993,-0.08158851,0.3064613,-0.6358374
4.905403,5.799793,4.148158,5.175117,-0.6015377,0.3022292,1.147255,-0.5984141,0.3529358,1.142627
5.591586,4.810904,5.264765,4.426816,0.5101223,0.08758955,0.5938492,0.5075649,0.1360276,0.5913477
1.74732,6.802296,2.908907,7.18887,-2.715408,1.628593,-0.9104538,-2.701132,1.696113,-0.901436
2.851431,6.430734,2.358626,6.227904,-2.08844,1.755298,0.4313965,-2.07648,1.85511,0.4279243
5.535227,4.478993,5.377391,4.282403,0.6644783,0.2575836,0.2883396,0.6610854,0.3084695,0.2870674
5.603495,3.959945,5.687205,4.077538,0.9875107,0.4618058,-0.1582832,0.982374,0.5153121,-0.157526
7.84928,3.532892,7.595778,2.926769,3.084328,0.02258924,0.657111,3.070617,0.05726147,0.6525578
6.264805,3.679434,5.740658,2.691766,1.616352,1.472118,1.053385,1.606847,1.553346,1.048772
3.482327,6.201108,2.562118,5.735118,-1.655197,1.76063,0.9322376,-1.645446,1.867999,0.927026
3.070853,5.553054,3.397316,5.740037,-1.345642,1.589482,-0.3540001,-1.337892,1.687443,-0.3519363
2.696995,7.989628,2.246012,7.848882,-3.55164,0.7779154,0.3751488,-3.535023,0.8145462,0.3715353
3.546134,5.169729,3.875249,5.400795,-0.8894806,1.323229,-0.4091148,-0.8844392,1.406216,-0.4070817
7.629352,1.571865,8.036335,2.974294,3.499611,1.243641,-1.073973,3.483516,1.281306,-1.062611
4.730221,4.404497,5.258564,4.967604,0.1869469,0.5301142,-0.8833065,0.1859627,0.586285,-0.8795829
4.043155,5.211956,3.56022,4.846911,-0.6800728,1.670719,0.6147644,-0.6760862,1.784468,0.6119897
2.956862,6.760283,3.879763,7.211862,-2.321579,0.2745447,-1.056002,-2.3099,0.3155673,-1.051589
4.251061,5.713353,3.886048,5.447224,-0.9154663,0.5129699,0.497366,-0.9106796,0.5675143,0.4950256
3.643184,5.499634,4.096559,5.809904,-1.066494,0.6938185,-0.587738,-1.060824,0.7515379,-0.5848347
6.367219,2.834862,6.437163,2.98865,2.04261,1.109285,-0.150341,2.031565,1.171203,-0.1492646
5.004837,4.158376,5.270378,4.474437,0.4873734,0.6799793,-0.4567833,0.4847686,0.7397219,-0.4547483
4.395717,5.293482,4.022308,4.987743,-0.5466309,0.8254369,0.5262737,-0.5436642,0.8889447,0.523894
6.032645,3.786635,6.329875,4.244185,1.385216,0.070332,-0.615386,1.378387,0.1158276,-0.6124183
3.681329,5.954264,3.921779,6.105852,-1.375847,0.3695617,-0.3062653,-1.368817,0.4195828,-0.3046945
4.043717,4.237352,4.777533,4.942501,-0.1008072,1.609002,-1.083156,-0.1002188,1.717148,-1.078861
2.366912,5.916754,3.332777,6.364991,-1.848747,1.822639,-0.9231377,-1.837857,1.933104,-0.9175212
6.993677,2.155146,7.014419,2.221533,2.781914,1.619472,-0.04893494,2.766679,1.691781,-0.04842579
3.962727,5.241347,3.822201,5.135925,-0.7396622,1.136785,0.1832085,-0.7355316,1.211304,0.1823308
6.499454,2.437022,6.762916,3.071353,2.281246,1.190328,-0.5869293,2.268989,1.250653,-0.5823551
6.101818,3.967757,6.050089,3.887737,1.349827,0.181016,0.1052876,1.343068,0.228456,0.1047662
3.807309,6.164516,3.441434,5.945514,-1.476788,0.5689995,0.4444265,-1.469104,0.6218475,0.4420223
3.929928,5.396832,3.404048,5.026828,-0.860096,1.613535,0.6458933,-0.855091,1.719033,0.6427983
6.324875,3.21159,6.837876,4.131199,1.865242,0.2943101,-1.129696,1.855609,0.3387325,-1.125416
5.683801,3.502602,5.551598,3.283728,1.259438,1.329435,0.2489567,1.252336,1.409806,0.2475587
3.348044,6.416778,2.832138,6.16333,-1.883015,1.039811,0.5349274,-1.872852,1.100607,0.5313995
7.651183,2.762618,7.267647,1.382084,3.197681,1.673929,0.9648361,3.181783,1.729341,0.9536505
2.49437,7.144402,2.88759,7.291007,-2.815422,0.7925256,-0.3556671,-2.801288,0.8375531,-0.3527162
3.898252,7.063803,2.967118,6.595811,-2.179981,0.3631355,1.069813,-2.168809,0.4061658,1.065429
2.832349,7.447283,2.378898,7.286904,-2.97974,0.8223261,0.3973303,-2.964988,0.8657924,0.3938406
4.292116,4.953213,3.792701,4.527321,-0.384285,1.786148,0.6756939,-0.3820035,1.918549,0.6729469
4.601032,4.088837,5.161494,4.710639,0.2797318,1.041319,-0.9158611,0.2781816,1.112291,-0.9119213
3.617328,6.245838,3.997659,6.473539,-1.628372,0.1274972,-0.4852066,-1.620339,0.172673,-0.4827019
6.963998,3.250008,7.001912,3.330473,2.382488,0.2258115,-0.08880997,2.37092,0.2677965,-0.08825016
3.102161,5.75035,3.957942,6.253674,-1.473364,0.9213023,-1.011417,-1.465196,0.9809583,-1.006984
5.062918,4.018154,5.622926,4.704223,0.5961113,0.5738057,-1.00172,0.5929738,0.6299547,-0.997359
2.67681,6.374918,3.459552,6.741126,-2.10334,0.9038914,-0.8054352,-2.092142,0.9575502,-0.8005314
3.876673,5.820257,3.362706,5.49132,-1.184422,1.030227,0.6234131,-1.177925,1.097028,0.6201333
3.016092,7.116767,3.165817,7.181501,-2.60968,0.352466,-0.1553298,-2.596973,0.3940685,-0.1542642
6.605307,3.327809,6.108056,2.180043,2.047007,1.77213,1.058739,2.034735,1.868695,1.053621
2.93967,7.845626,2.79154,7.791334,-3.32243,0.3262434,0.1425877,-3.307012,0.3618548,0.1414943
7.843294,1.972459,8.023702,2.598677,3.618696,1.023238,-0.4821854,3.601666,1.061227,-0.4770881
7.375939,3.173253,7.187623,2.706839,2.784411,0.4843534,0.4605637,2.770934,0.5254384,0.4570927
7.604675,3.606838,7.228206,2.724913,2.81426,0.2825035,0.9372902,2.801363,0.3200202,0.9306874
4.402621,4.385242,4.835341,4.819523,0.009598732,1.013391,-0.6691322,0.009545326,1.083997,-0.6662427
2.817795,8.028008,3.150106,8.15059,-3.547457,0.1468138,-0.3331022,-3.53181,0.1794617,-0.3305327
4.02405,5.261532,3.882388,5.153996,-0.7221613,1.024542,0.1875663,-0.7181709,1.094475,0.1866736
3.438117,5.074043,4.016652,5.482587,-0.8753328,1.421515,-0.7223082,-0.8703293,1.510233,-0.7188077
2.221667,7.250327,3.243626,7.625782,-2.991077,0.7715895,-0.9388275,-2.976964,0.8117973,-0.9308848
3.584469,7.553494,2.942245,7.270741,-2.775673,0.1162623,0.7033348,-2.762929,0.1535869,0.6986026
4.865335,3.993671,5.393025,4.621973,0.4852623,0.8419608,-0.9061813,0.4826301,0.9055206,-0.9022048
7.695215,1.584338,7.910922,2.424146,3.561471,1.462342,-0.5679932,3.544138,1.508066,-0.5610594
6.135449,4.347188,5.638408,3.611918,1.177788,0.4641898,0.9796104,1.171606,0.5157655,0.9753488
2.295675,6.98543,2.885094,7.200686,-2.734356,1.022347,-0.5134382,-2.720382,1.071963,-0.5089409
3.136691,6.76783,3.550145,6.96909,-2.258868,0.2718866,-0.463636,-2.247793,0.3149149,-0.4607834
3.288436,5.765795,3.913104,6.14353,-1.409404,0.7717694,-0.7538223,-1.401911,0.8289331,-0.7497615
7.373841,4.041777,6.912147,3.12093,2.38899,0.02603654,1.103607,2.377348,0.06435251,1.099294
4.521904,5.303512,3.847048,4.741245,-0.4826814,1.175675,0.9454575,-0.4799768,1.251873,0.9413054
3.219946,8.12855,2.937785,8.020963,-3.496946,0.04125843,0.291729,-3.481579,0.073843,0.289578
3.356236,7.880632,2.636116,7.601918,-3.191866,0.2851247,0.7247467,-3.177502,0.3203022,0.7192022
3.485709,5.465277,3.24635,5.315813,-1.113987,1.767864,0.2699909,-1.107443,1.890393,0.2685641
2.310827,7.964231,2.172103,7.925092,-3.64827,1.038731,0.1047497,-3.630565,1.077732,0.1036484
7.498279,3.900855,7.055186,2.961102,2.575512,0.1084746,1.079196,2.56297,0.1461327,1.074758
6.775199,1.815698,6.994571,2.513455,2.677959,1.885603,-0.5087891,2.662911,1.98178,-0.5034496
4.409058,5.204046,4.761494,5.505827,-0.4800758,0.1785805,-0.5409737,-0.4776442,0.2284319,-0.538673
3.547102,7.359797,3.080031,7.146417,-2.611305,0.1008419,0.5192223,-2.599043,0.139641,0.5158908
6.971782,2.757702,6.929256,2.648353,2.575912,0.9222144,0.09932327,2.562551,0.9727539,0.09852433
4.553769,4.941459,3.914605,4.359511,-0.2314415,1.710636,0.9057159,-0.2300754,1.831478,0.9021132
6.543649,3.644731,5.987005,2.511763,1.856903,1.381574,1.166943,1.845955,1.452943,1.162518
2.094847,6.516153,3.34035,7.016395,-2.393288,1.364796,-1.133078,-2.379491,1.425581,-1.128258
6.861035,3.268614,6.378201,2.07159,2.287773,1.566257,1.070514,2.274373,1.639429,1.065392
6.92124,3.99175,6.574315,3.354419,2.007786,0.06448197,0.7845592,1.998093,0.1064384,0.780324
5.086074,3.895666,5.188985,4.029099,0.6719875,1.102438,-0.1770744,0.6682457,1.175769,-0.1762371
3.915924,4.981984,4.214269,5.219748,-0.596159,1.040041,-0.4061432,-0.5928565,1.110911,-0.4042675
7.022734,4.033913,6.539893,3.118312,2.075943,0.2462542,1.095734,2.065396,0.2887254,1.091431
3.650172,4.947159,3.84005,5.088872,-0.7010231,1.679915,-0.2381401,-0.6969148,1.795397,-0.2370382
3.639024,7.684802,2.661183,7.272935,-2.876408,0.3039665,1.034126,-2.863356,0.3407657,1.026766
4.353443,4.937246,4.174272,4.780009,-0.340889,1.055739,0.2557964,-0.3389962,1.128151,0.2546524
5.778235,3.393225,5.702238,3.26213,1.374809,1.255455,0.146265,1.367127,1.330852,0.1454139
2.996722,7.43625,1.371237,6.942461,-2.912235,1.879307,1.189098,-2.894842,1.952574,1.183342
6.003753,4.551705,5.408092,3.731009,0.9631195,0.5179815,1.137421,0.9579393,0.5712548,1.132932
6.268066,4.031242,5.872948,3.384342,1.447361,0.5482695,0.8037338,1.439859,0.6002902,0.7995243
4.928546,6.015615,4.149485,5.395859,-0.7473907,0.1011145,1.183271,-0.7435663,0.1484029,1.178723
5.129394,4.306131,5.507281,4.749972,0.487999,0.3026848,-0.6727943,0.4854945,0.3543718,-0.6699114
4.991948,4.56702,4.945638,4.516355,0.2552185,0.5596889,0.07703723,0.2538669,0.6171719,0.07670188
6.469156,4.301515,5.931125,3.439664,1.466892,0.3661682,1.116261,1.459184,0.4141812,1.111956
2.921817,5.88018,2.936338,5.887409,-1.636967,1.751986,-0.01427269,-1.627469,1.863077,-0.01417792
5.359827,5.07077,4.731505,4.401375,0.1894302,0.4891425,1.061176,0.1884398,0.5441581,1.056767
6.029876,2.349479,6.486952,3.352788,1.938805,1.649096,-0.9588013,1.92746,1.737715,-0.9535227
5.712682,4.015881,5.21769,3.273661,1.037605,1.372308,0.9062805,1.031714,1.455724,0.901741
6.68632,2.625026,6.602314,2.403005,2.37661,1.458146,0.1876812,2.363508,1.529584,0.1860542
4.577884,5.316155,4.390219,5.155434,-0.4589081,0.3598645,0.2817268,-0.45653,0.412936,0.2805011
3.079164,7.038629,2.462325,6.791471,-2.516739,0.9295741,0.5742814,-2.503815,0.9798199,0.5697009
3.165548,6.563929,3.990703,6.999299,-2.07692,0.2048668,-0.9884882,-2.06653,0.247184,-0.984169
4.930908,4.142238,4.760459,3.937798,0.4498138,1.430584,0.2765541,0.4472321,1.523464,0.2753135
5.467177,3.920441,5.987135,4.617966,0.9121933,0.2944878,-0.996891,0.907511,0.3443813,-0.9926262
2.348548,6.374447,2.587104,6.466144,-2.207546,1.844643,-0.1979561,-2.194869,1.953418,-0.1962385
6.441779,3.488053,6.175103,2.966799,1.842892,0.8484604,0.5643044,1.833125,0.904339,0.5607694
6.086858,3.532392,6.426944,4.090668,1.54348,0.2489589,-0.7129478,1.535753,0.2958233,-0.7092956
4.526387,6.040584,3.920156,5.600723,-1.005096,0.2122176,0.8573036,-1.00003,0.2607903,0.8534262
5.3841,5.126245,4.815741,4.525617,0.1702576,0.2983351,0.9701936,0.1693845,0.3499687,0.9661963
5.116539,5.368518,4.473209,4.759372,-0.1659851,0.3927343,1.032494,-0.1651263,0.4459434,1.028228
4.51805,5.531073,3.638662,4.839406,-0.6399841,1.267063,1.200247,-0.6362493,1.34637,1.195487
6.1613,3.702638,5.659968,2.789829,1.524635,1.45636,0.9924088,1.515755,1.538426,0.9877302
3.410782,5.940919,3.541457,6.016893,-1.486732,0.7825556,-0.1522789,-1.478818,0.8403252,-0.1514149
4.534032,4.517221,4.192846,4.174662,0.009567261,1.849534,0.4981766,0.00951004,1.995536,0.4962476
7.591538,1.821028,7.858859,2.7288,3.410976,1.145299,-0.6957226,3.394707,1.18639,-0.6883678
6.552222,3.358896,6.351652,2.948567,1.988514,0.7854872,0.4341803,1.97809,0.8388373,0.4313556
6.244648,3.493313,6.540344,3.997964,1.682873,0.1970877,-0.6334098,1.674524,0.2426362,-0.6300794
4.910657,4.063736,5.544441,4.810429,0.4775772,0.6588417,-1.10911,0.4750375,0.7170535,-1.104379
7.558644,1.327586,7.768477,2.231282,3.478367,1.896497,-0.5435696,3.460664,1.963557,-0.5360219
6.238295,2.580077,6.628174,3.416601,2.02734,1.129289,-0.8410797,2.016221,1.189834,-0.8360613
4.424451,6.062323,3.763816,5.59842,-1.079037,0.3596106,0.9057236,-1.0735,0.4100659,0.9015756
4.571169,4.875708,4.113529,4.449501,-0.1808395,1.338306,0.6652718,-0.1798089,1.424969,0.6624109
3.624844,5.326149,3.556183,5.27966,-0.9572544,1.449315,0.08259773,-0.9517738,1.540463,0.08217621
